employee_id,first_name_th,last_name_th,first_name_en,last_name_en,email,branch_code,dept_code,position_title,position_level,reports_to_employee_id,hire_date,status,employment_type,is_canon_leader,canon_role_label
EMP-L3-00001,Vichai,Leelawong,Vichai,Leelawong,,BKK-R9,CEO,CEO,C-level,,2023-01-01,active,FT,true,Founder & CEO
EMP-L3-00002,Ben,Account,Ben,Account,,BKK-R9,B2B,B2B Account Manager,Manager,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00003,Sara,Lead,Sara,Lead,,BKK-R9,SUP,CS Lead,Manager,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00004,Ron,Retail,Ron,Retail,,BKK-R9,RET,Retail Director,Director,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00005,Fin,Approver,Fin,Approver,,BKK-R9,FIN,Finance Manager,Manager,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00006,Mali,Promo,Mali,Promo,,BKK-R9,MKT,Marketing Manager,Manager,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00007,Hannah,People,Hannah,People,,BKK-R9,HR,HR Manager,Manager,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00008,Ollie,Logistics,Ollie,Logistics,,BKK-R9,OPS,Operations Manager,Manager,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00009,Sky,Product,Sky,Product,,BKK-R9,SF,SF Division Director,Director,EMP-L3-00001,2023-01-01,active,FT,false,
EMP-L3-00010,May,Support,May,Support,,BKK-R9,SUP,CS Agent,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00011,Som,Cashier,Som,Cashier,,BKK-R9,RET,Cashier,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00012,Manat,Chairman,Manat,Chairman,,BKK-R9,CEO,Board Chair,C-level,,2023-01-01,active,FT,true,Board Chair
EMP-L3-00013,Naret,Vision,Naret,Vision,,BKK-R9,CEO,CEO,C-level,EMP-L3-00012,2023-01-01,active,FT,true,Incoming CEO
EMP-L3-00014,Staff014,Member,Staff014,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00015,Staff015,Member,Staff015,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00016,Staff016,Member,Staff016,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00017,Staff017,Member,Staff017,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00018,Staff018,Member,Staff018,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00019,Staff019,Member,Staff019,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00020,Staff020,Member,Staff020,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00021,Staff021,Member,Staff021,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00022,Staff022,Member,Staff022,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00023,Staff023,Member,Staff023,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00024,Staff024,Member,Staff024,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00025,Staff025,Member,Staff025,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00026,Staff026,Member,Staff026,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00027,Staff027,Member,Staff027,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00028,Staff028,Member,Staff028,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00029,Staff029,Member,Staff029,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00030,Staff030,Member,Staff030,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00031,Staff031,Member,Staff031,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00032,Staff032,Member,Staff032,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00033,Staff033,Member,Staff033,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00034,Staff034,Member,Staff034,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00035,Staff035,Member,Staff035,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00036,Staff036,Member,Staff036,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00037,Staff037,Member,Staff037,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00038,Staff038,Member,Staff038,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00039,Staff039,Member,Staff039,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00040,Staff040,Member,Staff040,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00041,Staff041,Member,Staff041,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00042,Staff042,Member,Staff042,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00043,Staff043,Member,Staff043,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00044,Staff044,Member,Staff044,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00045,Staff045,Member,Staff045,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00046,Staff046,Member,Staff046,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00047,Staff047,Member,Staff047,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00048,Staff048,Member,Staff048,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00049,Staff049,Member,Staff049,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00050,Staff050,Member,Staff050,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00051,Staff051,Member,Staff051,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00052,Staff052,Member,Staff052,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00053,Staff053,Member,Staff053,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00054,Staff054,Member,Staff054,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00055,Staff055,Member,Staff055,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00056,Staff056,Member,Staff056,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00057,Staff057,Member,Staff057,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00058,Staff058,Member,Staff058,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00059,Staff059,Member,Staff059,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00060,Staff060,Member,Staff060,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00061,Staff061,Member,Staff061,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00062,Staff062,Member,Staff062,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00063,Staff063,Member,Staff063,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00064,Staff064,Member,Staff064,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00065,Staff065,Member,Staff065,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00066,Staff066,Member,Staff066,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00067,Staff067,Member,Staff067,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00068,Staff068,Member,Staff068,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00069,Staff069,Member,Staff069,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00070,Staff070,Member,Staff070,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00071,Staff071,Member,Staff071,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00072,Staff072,Member,Staff072,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00073,Staff073,Member,Staff073,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00074,Staff074,Member,Staff074,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00075,Staff075,Member,Staff075,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00076,Staff076,Member,Staff076,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00077,Staff077,Member,Staff077,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00078,Staff078,Member,Staff078,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00079,Staff079,Member,Staff079,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00080,Staff080,Member,Staff080,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00081,Staff081,Member,Staff081,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00082,Staff082,Member,Staff082,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00083,Staff083,Member,Staff083,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00084,Staff084,Member,Staff084,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00085,Staff085,Member,Staff085,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00086,Staff086,Member,Staff086,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00087,Staff087,Member,Staff087,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00088,Staff088,Member,Staff088,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00089,Staff089,Member,Staff089,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00090,Staff090,Member,Staff090,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00091,Staff091,Member,Staff091,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00092,Staff092,Member,Staff092,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00093,Staff093,Member,Staff093,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00094,Staff094,Member,Staff094,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00095,Staff095,Member,Staff095,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00096,Staff096,Member,Staff096,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00097,Staff097,Member,Staff097,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00098,Staff098,Member,Staff098,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00099,Staff099,Member,Staff099,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00100,Staff100,Member,Staff100,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00101,Staff101,Member,Staff101,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00102,Staff102,Member,Staff102,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00103,Staff103,Member,Staff103,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00104,Staff104,Member,Staff104,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00105,Staff105,Member,Staff105,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00106,Staff106,Member,Staff106,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00107,Staff107,Member,Staff107,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00108,Staff108,Member,Staff108,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00109,Staff109,Member,Staff109,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00110,Staff110,Member,Staff110,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00111,Staff111,Member,Staff111,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00112,Staff112,Member,Staff112,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00113,Staff113,Member,Staff113,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00114,Staff114,Member,Staff114,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00115,Staff115,Member,Staff115,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
EMP-L3-00116,Staff116,Member,Staff116,Member,,BKK-R9,B2B,B2B Staff,IC,EMP-L3-00002,2023-01-01,active,FT,false,
EMP-L3-00117,Staff117,Member,Staff117,Member,,BKK-R9,OPS,OPS Staff,IC,EMP-L3-00008,2023-01-01,active,FT,false,
EMP-L3-00118,Staff118,Member,Staff118,Member,,BKK-R9,FIN,FIN Staff,IC,EMP-L3-00005,2023-01-01,active,FT,false,
EMP-L3-00119,Staff119,Member,Staff119,Member,,BKK-R9,MKT,MKT Staff,IC,EMP-L3-00006,2023-01-01,active,FT,false,
EMP-L3-00120,Staff120,Member,Staff120,Member,,BKK-R9,RET,RET Staff,IC,EMP-L3-00004,2023-01-01,active,FT,false,
EMP-L3-00121,Staff121,Member,Staff121,Member,,BKK-R9,SUP,SUP Staff,IC,EMP-L3-00003,2023-01-01,active,FT,false,
